PLANTID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
,2021-11-02 00:00:00,3.2,15093.0,68,11.2,97,857,,,
,2021-11-02 01:00:00,2.6,14852.0,61,11.2,97,857,,,
,2021-11-02 02:00:00,2.7,13640.0,57,11.1,96,857,,,
,2021-11-02 03:00:00,2.7,15209.0,54,11.0,96,856,,,
,2021-11-02 04:00:00,2.1,11229.0,53,10.9,95,856,,,
,2021-11-02 05:00:00,1.8,9966.0,43,11.0,95,856,,,
,2021-11-02 06:00:00,2.1,11600.0,29,11.0,96,856,,,
,2021-11-02 07:00:00,1.9,10553.0,25,11.0,96,857,,,
,2021-11-02 08:00:00,1.5,10395.0,48,11.3,94,857,,,
,2021-11-02 09:00:00,0.8,9580.0,83,11.8,92,857,,,
,2021-11-02 10:00:00,1.5,8535.0,106,12.8,89,858,,,
,2021-11-02 11:00:00,1.9,7969.0,122,13.9,84,857,,,
,2021-11-02 12:00:00,1.4,7767.0,146,14.3,82,857,,,
,2021-11-02 13:00:00,1.0,7301.0,143,14.9,80,856,,,
,2021-11-02 14:00:00,1.0,6852.0,119,14.9,80,855,,,
,2021-11-02 15:00:00,1.7,6398.0,123,14.5,83,855,,,
,2021-11-02 16:00:00,2.2,8452.0,122,14.1,85,854,,,
,2021-11-02 17:00:00,2.5,9215.0,113,13.4,88,854,,,
,2021-11-02 18:00:00,2.0,9829.0,101,12.6,91,854,,,
,2021-11-02 19:00:00,1.7,10369.0,83,12.0,94,855,,,
,2021-11-02 20:00:00,2.0,12071.0,84,11.6,94,855,,,
,2021-11-02 21:00:00,2.4,12183.0,92,11.7,94,855,,,
,2021-11-02 22:00:00,2.1,11866.0,101,11.5,95,856,,,
,2021-11-02 23:00:00,1.9,14463.0,96,11.5,96,856,,,
,2021-11-03 00:00:00,2.0,13660.0,123,11.4,95,856,,,
,2021-11-03 01:00:00,2.1,13168.0,109,11.2,96,855,,,
,2021-11-03 02:00:00,2.0,14297.0,105,11.1,97,855,,,
,2021-11-03 03:00:00,1.8,13303.0,96,11.0,97,854,,,
,2021-11-03 04:00:00,1.3,12922.0,99,11.2,97,854,,,
,2021-11-03 05:00:00,1.5,14157.0,110,11.2,97,854,,,
,2021-11-03 06:00:00,1.8,13316.0,103,11.2,95,854,,,
,2021-11-03 07:00:00,1.9,13162.0,102,11.1,96,854,,,
,2021-11-03 08:00:00,2.2,14566.0,112,11.3,96,855,,,
,2021-11-03 09:00:00,2.2,14652.0,124,11.7,95,855,,,
,2021-11-03 10:00:00,1.8,15256.0,135,12.2,93,855,,,
,2021-11-03 11:00:00,2.0,11978.0,135,12.7,92,855,,,
,2021-11-03 12:00:00,2.4,15754.0,145,13.8,88,854,,,
,2021-11-03 13:00:00,1.9,14060.0,145,13.7,90,853,,,
,2021-11-03 14:00:00,1.4,9600.0,146,14.1,88,852,,,
,2021-11-03 15:00:00,1.2,8880.0,132,14.2,88,852,,,
,2021-11-03 16:00:00,1.8,7987.0,133,14.2,88,851,,,
,2021-11-03 17:00:00,2.0,9663.0,127,13.6,92,851,,,
,2021-11-03 18:00:00,2.1,10125.0,119,13.0,95,852,,,
,2021-11-03 19:00:00,2.5,11197.0,117,12.6,97,852,,,
,2021-11-03 20:00:00,2.9,13444.0,115,12.5,97,852,,,
,2021-11-03 21:00:00,3.1,14458.0,119,12.4,98,853,,,
,2021-11-03 22:00:00,3.2,16411.0,122,12.4,99,853,,,
,2021-11-03 23:00:00,3.0,14245.0,114,12.4,99,853,,,
,2021-11-04 00:00:00,3.3,18437.0,121,12.2,98,853,,,
,2021-11-04 01:00:00,2.6,17833.0,122,12.0,99,852,,,
,2021-11-04 02:00:00,2.0,17501.0,114,12.1,98,852,,,
,2021-11-04 03:00:00,2.3,19017.0,121,12.2,98,851,,,
,2021-11-04 04:00:00,2.4,20135.0,128,12.2,99,851,,,
,2021-11-04 05:00:00,2.5,21261.0,133,12.3,98,851,,,
,2021-11-04 06:00:00,2.2,18387.0,137,12.3,99,851,,,
,2021-11-04 07:00:00,2.4,19271.0,145,12.4,99,851,,,
,2021-11-04 08:00:00,2.6,21899.0,140,12.6,99,851,,,
,2021-11-04 09:00:00,2.1,18167.0,145,13.0,97,852,,,
,2021-11-04 10:00:00,1.4,16186.0,144,13.4,97,852,,,
,2021-11-04 11:00:00,1.6,14325.0,150,14.5,95,852,,,
,2021-11-04 12:00:00,1.4,13627.0,159,14.9,94,851,,,
,2021-11-04 13:00:00,1.3,13393.0,157,15.2,93,850,,,
,2021-11-04 14:00:00,1.5,13514.0,160,15.9,90,849,,,
,2021-11-04 15:00:00,1.8,14120.0,180,16.3,91,848,,,
,2021-11-04 16:00:00,1.6,12963.0,169,15.7,95,848,,,
,2021-11-04 17:00:00,2.4,12869.0,145,15.0,97,848,,,
,2021-11-04 18:00:00,2.8,15053.0,132,14.5,99,848,,,
,2021-11-04 19:00:00,2.8,21379.0,138,14.3,99,849,,,
,2021-11-04 20:00:00,2.8,25501.0,141,14.4,99,849,,,
,2021-11-04 21:00:00,3.0,26317.0,134,14.6,99,849,,,
,2021-11-04 22:00:00,2.8,24125.0,134,14.6,99,849,,,
,2021-11-04 23:00:00,2.6,24837.0,140,14.6,98,849,,,
,2021-11-05 00:00:00,3.2,21307.0,178,14.8,99,849,,,
,2021-11-05 01:00:00,3.9,26194.0,187,14.8,99,849,,,
,2021-11-05 02:00:00,3.7,28438.0,193,14.7,98,849,,,
,2021-11-05 03:00:00,4.1,32447.0,198,14.9,98,848,,,
,2021-11-05 04:00:00,4.7,37804.0,205,15.3,99,847,,,
,2021-11-05 05:00:00,4.5,37865.0,208,15.6,97,847,,,
,2021-11-05 06:00:00,4.8,37356.0,202,15.5,97,847,,,
,2021-11-05 07:00:00,4.9,36843.0,213,15.9,97,847,,,
,2021-11-05 08:00:00,4.7,32254.0,226,16.5,97,848,,,
,2021-11-05 09:00:00,4.2,26649.0,225,17.4,96,848,,,
,2021-11-05 10:00:00,4.1,22773.0,219,18.4,93,849,,,
,2021-11-05 11:00:00,2.5,16719.0,228,18.5,92,849,,,
,2021-11-05 12:00:00,1.5,12510.0,247,18.0,96,848,,,
,2021-11-05 13:00:00,1.1,13045.0,229,18.3,94,847,,,
,2021-11-05 14:00:00,0.9,11873.0,243,18.4,92,846,,,
,2021-11-05 15:00:00,1.1,10359.0,270,18.5,92,846,,,
,2021-11-05 16:00:00,1.2,7447.0,301,18.2,92,846,,,
,2021-11-05 17:00:00,0.5,5130.0,0,17.7,94,846,,,
,2021-11-05 18:00:00,1.4,5415.0,25,16.9,97,847,,,
,2021-11-05 19:00:00,0.7,6154.0,34,16.5,99,847,,,
,2021-11-05 20:00:00,0.6,8177.0,329,16.1,99,848,,,
,2021-11-05 21:00:00,1.1,8210.0,355,15.8,99,848,,,
,2021-11-05 22:00:00,1.1,8228.0,38,15.5,100,848,,,
,2021-11-05 23:00:00,1.3,8285.0,42,15.5,99,848,,,
,2021-11-06 00:00:00,1.7,7025.0,7,15.4,97,848,,,
,2021-11-06 01:00:00,0.7,7791.0,16,15.5,96,848,,,
,2021-11-06 02:00:00,0.8,7775.0,67,15.2,98,848,,,
,2021-11-06 03:00:00,0.9,7842.0,54,15.1,98,847,,,
,2021-11-06 04:00:00,1.3,9338.0,99,14.8,98,847,,,
,2021-11-06 05:00:00,2.6,13022.0,72,14.6,96,847,,,
,2021-11-06 06:00:00,3.9,18284.0,72,14.2,96,847,,,
,2021-11-06 07:00:00,4.3,24012.0,68,14.0,94,848,,,
,2021-11-06 08:00:00,4.6,23995.0,74,13.7,97,848,,,
,2021-11-06 09:00:00,4.4,21681.0,76,14.1,96,849,,,
,2021-11-06 10:00:00,4.0,17256.0,76,14.6,97,849,,,
,2021-11-06 11:00:00,4.4,15796.0,72,14.7,95,850,,,
,2021-11-06 12:00:00,3.6,11149.0,67,15.2,95,849,,,
,2021-11-06 13:00:00,3.9,10564.0,69,15.5,92,849,,,
,2021-11-06 14:00:00,4.4,10309.0,67,16.2,88,848,,,
,2021-11-06 15:00:00,4.4,9219.0,63,15.8,88,848,,,
,2021-11-06 16:00:00,4.0,11168.0,62,15.1,92,848,,,
,2021-11-06 17:00:00,3.9,11533.0,61,14.6,94,848,,,
,2021-11-06 18:00:00,4.4,16220.0,59,14.0,96,849,,,
,2021-11-06 19:00:00,5.1,22126.0,58,13.7,97,849,,,
,2021-11-06 20:00:00,6.0,25756.0,56,13.7,98,850,,,
,2021-11-06 21:00:00,5.9,28742.0,56,13.7,97,850,,,
,2021-11-06 22:00:00,6.0,28619.0,57,13.6,98,851,,,
,2021-11-06 23:00:00,5.7,28392.0,56,13.6,96,851,,,
,2021-11-07 00:00:00,6.0,31088.0,50,13.2,97,851,,,
,2021-11-07 01:00:00,5.2,28950.0,44,13.2,96,851,,,
,2021-11-07 02:00:00,4.0,21414.0,33,13.3,96,851,,,
,2021-11-07 03:00:00,4.8,27971.0,40,13.0,96,851,,,
,2021-11-07 04:00:00,5.4,34217.0,47,12.8,95,851,,,
,2021-11-07 05:00:00,5.4,36347.0,43,12.5,94,851,,,
,2021-11-07 06:00:00,5.6,41344.0,44,12.0,94,851,,,
,2021-11-07 07:00:00,6.0,42261.0,42,10.9,94,852,,,
,2021-11-07 08:00:00,6.4,41856.0,42,9.4,93,853,,,
,2021-11-07 09:00:00,7.1,40706.0,40,8.4,91,854,,,
,2021-11-07 10:00:00,6.8,37678.0,39,7.6,90,855,,,
,2021-11-07 11:00:00,6.6,34392.0,36,6.9,89,855,,,
,2021-11-07 12:00:00,6.4,32570.0,30,6.5,88,855,,,
,2021-11-07 13:00:00,5.9,28081.0,23,6.3,87,855,,,
,2021-11-07 14:00:00,5.5,26531.0,22,5.9,86,855,,,
,2021-11-07 15:00:00,5.7,26366.0,24,5.7,83,855,,,
,2021-11-07 16:00:00,5.7,26381.0,23,4.8,77,856,,,
,2021-11-07 17:00:00,5.6,27614.0,21,4.4,60,856,,,
,2021-11-07 18:00:00,4.4,24323.0,23,4.1,52,857,,,
,2021-11-07 19:00:00,3.7,23409.0,17,4.1,48,858,,,
,2021-11-07 20:00:00,3.3,24335.0,18,4.3,44,859,,,
,2021-11-07 21:00:00,2.8,21926.0,19,4.4,40,859,,,
,2021-11-07 22:00:00,2.9,20439.0,36,4.4,39,859,,,
,2021-11-07 23:00:00,3.3,23293.0,46,4.0,42,859,,,
,2021-11-08 00:00:00,2.5,19594.0,40,2.8,40,859,,,
,2021-11-08 01:00:00,2.7,17540.0,33,2.2,45,859,,,
,2021-11-08 02:00:00,3.1,17307.0,33,1.1,55,859,,,
,2021-11-08 03:00:00,3.1,16141.0,32,0.7,59,858,,,
,2021-11-08 04:00:00,2.9,15416.0,35,0.3,60,858,,,
,2021-11-08 05:00:00,2.7,15853.0,36,0.4,59,858,,,
,2021-11-08 06:00:00,2.5,16219.0,42,0.3,61,858,,,
,2021-11-08 07:00:00,2.4,16972.0,52,-0.3,65,858,,,
,2021-11-08 08:00:00,2.3,15901.0,61,1.0,59,859,,,
,2021-11-08 09:00:00,2.1,14887.0,65,2.7,51,859,,,
,2021-11-08 10:00:00,2.5,14095.0,64,4.4,45,859,,,
,2021-11-08 11:00:00,2.8,12311.0,60,5.7,41,859,,,
,2021-11-08 12:00:00,2.7,10648.0,56,6.9,40,858,,,
,2021-11-08 13:00:00,2.4,9119.0,52,7.6,40,857,,,
,2021-11-08 14:00:00,2.4,8753.0,55,8.1,42,856,,,
,2021-11-08 15:00:00,2.6,9502.0,67,8.0,44,856,,,
,2021-11-08 16:00:00,2.9,10031.0,78,7.4,46,855,,,
,2021-11-08 17:00:00,2.9,10502.0,78,6.1,50,856,,,
,2021-11-08 18:00:00,2.6,10359.0,72,4.0,62,856,,,
,2021-11-08 19:00:00,2.7,12935.0,62,3.0,65,856,,,
,2021-11-08 20:00:00,3.0,15674.0,62,2.5,62,857,,,
,2021-11-08 21:00:00,2.9,16356.0,72,2.1,59,857,,,
,2021-11-08 22:00:00,3.0,18863.0,82,1.9,58,857,,,
,2021-11-08 23:00:00,2.9,17099.0,80,2.0,55,857,,,
,2021-11-09 00:00:00,2.8,19006.0,90,2.4,59,857,,,
,2021-11-09 01:00:00,2.8,18380.0,86,2.3,56,857,,,
,2021-11-09 02:00:00,2.6,18546.0,83,2.4,53,857,,,
,2021-11-09 03:00:00,2.5,19739.0,83,3.4,46,857,,,
,2021-11-09 04:00:00,2.5,18971.0,81,3.7,42,856,,,
,2021-11-09 05:00:00,2.3,16786.0,80,4.0,42,856,,,
,2021-11-09 06:00:00,2.2,16846.0,82,4.2,39,856,,,
,2021-11-09 07:00:00,2.5,17678.0,81,4.1,41,856,,,
,2021-11-09 08:00:00,2.7,14595.0,75,5.5,38,857,,,
,2021-11-09 09:00:00,2.3,14701.0,61,7.0,35,857,,,
,2021-11-09 10:00:00,2.1,11409.0,67,7.8,35,858,,,
,2021-11-09 11:00:00,2.0,9668.0,60,7.8,37,858,,,
,2021-11-09 12:00:00,2.2,9172.0,56,8.2,39,857,,,
,2021-11-09 13:00:00,2.1,8693.0,51,8.4,41,856,,,
,2021-11-09 14:00:00,1.8,7983.0,52,9.0,43,855,,,
,2021-11-09 15:00:00,1.2,8098.0,66,9.0,47,855,,,
,2021-11-09 16:00:00,0.9,8245.0,72,8.5,53,855,,,
,2021-11-09 17:00:00,0.6,8688.0,90,7.9,59,855,,,
,2021-11-09 18:00:00,0.4,9150.0,124,7.1,71,856,,,
,2021-11-09 19:00:00,0.3,9303.0,108,7.0,68,856,,,
,2021-11-09 20:00:00,0.4,12494.0,180,6.7,70,856,,,
,2021-11-09 21:00:00,0.3,11947.0,288,6.4,71,857,,,
,2021-11-09 22:00:00,1.3,11680.0,321,5.8,73,857,,,
,2021-11-09 23:00:00,1.3,12398.0,297,5.0,73,857,,,
,2021-11-10 00:00:00,2.7,14220.0,318,3.9,66,857,,,
,2021-11-10 01:00:00,2.9,13606.0,316,3.5,69,857,,,
,2021-11-10 02:00:00,3.0,14006.0,312,3.4,71,856,,,
,2021-11-10 03:00:00,3.2,14651.0,314,3.3,72,856,,,
,2021-11-10 04:00:00,3.4,16681.0,317,3.2,74,856,,,
,2021-11-10 05:00:00,3.5,20187.0,320,3.2,76,855,,,
,2021-11-10 06:00:00,3.4,19732.0,324,3.2,77,855,,,
,2021-11-10 07:00:00,3.1,15901.0,328,3.5,76,856,,,
,2021-11-10 08:00:00,2.6,13022.0,332,5.4,73,856,,,
,2021-11-10 09:00:00,2.1,10878.0,337,8.5,62,857,,,
,2021-11-10 10:00:00,1.3,9308.0,333,10.6,54,857,,,
,2021-11-10 11:00:00,0.9,7886.0,319,11.9,51,857,,,
,2021-11-10 12:00:00,0.5,6857.0,307,12.7,53,856,,,
,2021-11-10 13:00:00,0.3,6178.0,315,13.2,55,855,,,
,2021-11-10 14:00:00,0.1,5870.0,315,13.2,58,854,,,
,2021-11-10 15:00:00,0.0,5443.0,0,13.1,60,854,,,
,2021-11-10 16:00:00,0.4,6665.0,124,12.6,62,853,,,
,2021-11-10 17:00:00,1.0,8686.0,127,11.3,67,854,,,
,2021-11-10 18:00:00,1.3,11043.0,132,9.3,77,854,,,
,2021-11-10 19:00:00,1.6,11034.0,125,7.9,80,854,,,
,2021-11-10 20:00:00,1.8,10910.0,112,6.9,82,854,,,
,2021-11-10 21:00:00,2.1,11963.0,107,6.6,81,854,,,
,2021-11-10 22:00:00,1.9,11874.0,106,6.7,79,855,,,
,2021-11-10 23:00:00,2.0,12207.0,114,7.4,81,855,,,
,2021-11-11 00:00:00,2.2,17044.0,133,7.1,84,855,,,
,2021-11-11 01:00:00,2.3,17967.0,135,7.0,84,855,,,
,2021-11-11 02:00:00,1.9,14955.0,137,7.3,76,854,,,
,2021-11-11 03:00:00,1.7,14156.0,135,7.1,74,854,,,
,2021-11-11 04:00:00,1.8,14475.0,135,7.2,75,854,,,
,2021-11-11 05:00:00,1.9,13860.0,133,7.2,78,854,,,
,2021-11-11 06:00:00,1.6,12701.0,128,7.3,77,854,,,
,2021-11-11 07:00:00,1.8,12321.0,133,7.8,75,854,,,
,2021-11-11 08:00:00,2.1,13787.0,125,8.5,72,855,,,
,2021-11-11 09:00:00,2.0,13164.0,117,9.9,63,855,,,
,2021-11-11 10:00:00,2.5,13536.0,122,10.6,57,856,,,
,2021-11-11 11:00:00,3.0,13227.0,120,10.7,53,856,,,
,2021-11-11 12:00:00,3.4,12000.0,114,10.7,51,855,,,
,2021-11-11 13:00:00,3.0,9715.0,111,10.8,51,854,,,
,2021-11-11 14:00:00,2.3,7756.0,110,10.5,51,854,,,
,2021-11-11 15:00:00,1.9,7773.0,106,10.3,51,853,,,
,2021-11-11 16:00:00,1.4,8162.0,86,10.0,53,854,,,
,2021-11-11 17:00:00,2.0,8835.0,75,9.6,60,854,,,
,2021-11-11 18:00:00,2.8,11089.0,67,8.9,65,854,,,
,2021-11-11 19:00:00,2.8,12909.0,64,8.5,63,855,,,
,2021-11-11 20:00:00,2.7,13854.0,70,8.2,60,856,,,
,2021-11-11 21:00:00,2.9,13820.0,68,7.9,61,856,,,
,2021-11-11 22:00:00,2.7,14755.0,63,7.7,67,857,,,
,2021-11-11 23:00:00,2.5,14746.0,56,7.5,73,857,,,
,2021-11-12 00:00:00,3.6,20432.0,44,7.3,75,857,,,
,2021-11-12 01:00:00,4.2,21603.0,44,7.4,65,857,,,
,2021-11-12 02:00:00,4.2,24396.0,48,7.4,59,856,,,
,2021-11-12 03:00:00,3.9,23412.0,48,7.3,58,856,,,
,2021-11-12 04:00:00,3.5,19697.0,50,7.3,58,856,,,
,2021-11-12 05:00:00,2.9,15240.0,49,7.0,62,856,,,
,2021-11-12 06:00:00,2.8,17685.0,48,6.5,65,857,,,
,2021-11-12 07:00:00,2.4,13771.0,48,6.8,65,857,,,
,2021-11-12 08:00:00,2.0,11715.0,45,7.4,65,858,,,
,2021-11-12 09:00:00,1.6,10869.0,43,8.7,58,858,,,
,2021-11-12 10:00:00,1.3,9055.0,48,10.0,53,858,,,
,2021-11-12 11:00:00,1.1,7595.0,45,11.5,49,858,,,
,2021-11-12 12:00:00,0.8,7337.0,50,11.9,50,857,,,
,2021-11-12 13:00:00,0.9,6748.0,32,12.0,53,856,,,
,2021-11-12 14:00:00,0.8,6387.0,23,11.4,56,856,,,
,2021-11-12 15:00:00,0.5,6386.0,53,10.3,62,855,,,
,2021-11-12 16:00:00,0.6,6703.0,51,9.5,68,855,,,
,2021-11-12 17:00:00,0.9,7697.0,84,9.1,70,855,,,
,2021-11-12 18:00:00,1.2,8057.0,76,8.8,72,855,,,
,2021-11-12 19:00:00,1.0,10684.0,73,8.6,73,856,,,
,2021-11-12 20:00:00,0.8,9281.0,60,8.4,76,856,,,
,2021-11-12 21:00:00,1.2,8951.0,14,8.1,79,856,,,
,2021-11-12 22:00:00,1.2,8487.0,0,7.5,82,856,,,
,2021-11-12 23:00:00,1.2,8924.0,355,7.1,85,856,,,
,2021-11-13 00:00:00,1.4,11759.0,300,7.4,85,856,,,
,2021-11-13 01:00:00,1.7,12167.0,303,7.4,85,856,,,
,2021-11-13 02:00:00,2.1,12946.0,307,6.2,88,856,,,
,2021-11-13 03:00:00,2.7,14101.0,318,5.5,88,855,,,
,2021-11-13 04:00:00,2.7,14103.0,326,5.1,86,855,,,
,2021-11-13 05:00:00,2.4,12740.0,327,5.1,83,855,,,
,2021-11-13 06:00:00,2.0,11139.0,330,4.9,80,855,,,
,2021-11-13 07:00:00,1.4,10064.0,339,4.9,78,855,,,
,2021-11-13 08:00:00,0.5,9038.0,0,6.6,75,855,,,
,2021-11-13 09:00:00,0.2,8994.0,90,9.2,63,856,,,
,2021-11-13 10:00:00,0.3,12567.0,180,10.6,60,856,,,
