DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-11-02 00:00:00,6.9,60141.0,25,16.5,85,959,11.2,72814.0,75004.0
2021-11-02 01:00:00,7.0,60925.0,23,16.2,84,959,10.4,67323.0,63650.0
2021-11-02 02:00:00,6.9,57276.0,23,15.9,85,959,9.6,63482.0,59091.0
2021-11-02 03:00:00,6.9,55427.0,20,15.9,83,958,11.1,70886.0,66958.0
2021-11-02 04:00:00,6.9,50386.0,18,15.8,82,958,9.5,59097.0,56230.0
2021-11-02 05:00:00,6.7,47917.0,17,15.6,81,959,10.1,64216.0,61415.0
2021-11-02 06:00:00,6.6,46600.0,15,15.4,81,959,9.8,64390.0,61952.0
2021-11-02 07:00:00,6.3,45681.0,16,16.0,79,960,11.1,79592.0,72500.0
2021-11-02 08:00:00,5.4,30334.0,14,17.6,75,960,10.2,69668.0,62756.0
2021-11-02 09:00:00,5.7,32470.0,23,18.9,70,960,8.2,43863.0,41480.0
2021-11-02 10:00:00,5.4,29302.0,32,19.5,70,960,8.7,52097.0,47380.0
2021-11-02 11:00:00,5.7,27358.0,36,20.4,67,959,5.2,14676.0,13856.0
2021-11-02 12:00:00,5.5,25459.0,37,20.9,63,959,5.9,16537.0,14303.0
2021-11-02 13:00:00,5.3,24199.0,37,21.4,61,958,4.5,6801.0,5364.0
2021-11-02 14:00:00,5.4,24549.0,33,21.1,63,958,4.1,4277.0,3933.0
2021-11-02 15:00:00,5.0,22370.0,33,20.6,64,957,4.4,6506.0,5096.0
2021-11-02 16:00:00,5.0,22281.0,39,19.7,68,957,6.3,16918.0,16807.0
2021-11-02 17:00:00,5.1,24791.0,37,19.0,71,957,6.5,24487.0,20829.0
2021-11-02 18:00:00,5.4,29092.0,34,18.1,74,958,7.9,39023.0,39960.0
2021-11-02 19:00:00,5.7,34337.0,29,17.7,76,958,7.9,42077.0,40944.0
2021-11-02 20:00:00,6.1,37300.0,28,17.3,77,958,8.3,42506.0,40944.0
2021-11-02 21:00:00,6.5,40164.0,27,17.0,81,959,8.1,42383.0,39603.0
2021-11-02 22:00:00,6.3,41451.0,27,16.6,84,959,8.3,42584.0,40944.0
2021-11-02 23:00:00,6.1,40570.0,24,16.4,85,958,7.5,37201.0,35222.0
2021-11-03 00:00:00,5.7,35306.0,18,16.7,90,958,8.0,41617.0,41212.0
2021-11-03 01:00:00,5.6,34506.0,17,16.7,90,958,7.4,35617.0,35490.0
2021-11-03 02:00:00,6.1,40132.0,10,16.8,90,957,7.7,40595.0,38887.0
2021-11-03 03:00:00,5.9,38633.0,9,16.8,90,957,7.5,34535.0,34865.0
2021-11-03 04:00:00,5.7,34954.0,6,16.7,89,957,7.2,32783.0,30752.0
2021-11-03 05:00:00,5.8,33112.0,7,16.4,90,957,7.1,31248.0,30752.0
2021-11-03 06:00:00,5.9,34599.0,6,16.1,91,957,7.1,31609.0,29858.0
2021-11-03 07:00:00,5.7,30802.0,11,16.6,88,958,6.9,29241.0,29411.0
